title,author,rating,ratingnum,categories,INFOCARD,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,source,link,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31
Cooking with kids: Fajitas,Caroline Hire – Food writer,4.2,5,NA,"Serves a family of 3-5 depending on ages
Easy
Prep: 25 mins
Cook: 10 mins
Plus marinating",18,4 chicken breasts cut into chunks,olive oil for frying,4 limes juice only,2 tsp fajita seasoning,4 spring onions finely sliced,1 fat garlic clove crushed,1 red pepper,½ jar roasted pepper (we used Gaea Red Peppers Flame Roasted 290g),1 small apple peeled,BBC Good Food,https://www.bbcgoodfood.com/recipes/cooking-kids-fajitas,4 ripe tomatoes,½  lime juice only,small bunch coriander leaves picked,chilli sauce to taste (optional),2 very ripe avocados halved and stone removed,½  lime juice only,grated cheese to serve,6 - 8 tortillas (you can now get mini tortillas for kids),soured cream (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coconut & cinnamon place-name cookies,Sarah Cook,NA,NA,Freezable,"Makes about 20 depending on size
Easy
Prep: 1 hr and 10 mins
Cook: 10 mins - 12 mins
Plus cooling",10,250g butter softened,140g golden caster sugar,1 medium egg,1 tsp vanilla extract,2 tsp cinnamon,300g plain flour plus extra for dusting,100g desiccated coconut,400g ready-to-roll icing,1-2 tbsp icing sugar,BBC Good Food,https://www.bbcgoodfood.com/recipes/coconut-cinnamon-place-name-cookies,"writing icing pens, sprinkles to decorate (see Tip below)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fork biscuits,Cassie Best,5,5,"Egg-free
Nut-free
Vegetarian","Makes 18-20 biscuits
Easy
Prep: 20 mins
Cook: 15 mins
plus cooling",5,100g salted butter softened,50g caster sugar,1 tsp vanilla extract,150g self-raising flour,100g dark chocolate to top (optional),NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/fork-biscuits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted caramel chocolate torte,James Martin,4.5,5,NA,"Serves 8
Easy
Prep: 1 hr and 15 mins
Cook: 10 mins
Plus cooling and chilling",10,175g digestive biscuits,85g butter melted,397g can caramel,1 tsp sea salt plus extra to serve,"300g plain chocolate (70% solids), broken into chunks",600ml tub  double cream,25g icing sugar,2 tsp vanilla extract,salted caramel chocolates to decorate,BBC Good Food,https://www.bbcgoodfood.com/recipes/salted-caramel-chocolate-torte,single cream to serve (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked goose with cranberry salsa,Tom Kerridge,5,5,NA,"6-8
More effort
Prep: 35 mins
Cook: 4 hrs
plus resting",14,"1 whole goose (about 6kg), giblets removed, trimmed or excess fat",8 whole cloves,3 star anise,2 chicken stock cubes,2 oranges zested,2 tsp ground cinnamon,2 onions finely chopped,2 tbsp olive oil,200g cranberries defrosted if frozen,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-goose-cranberry-salsa,1 orange zested and juiced,2 limes zested,1 tbsp cranberry sauce,2 green chillies finely chopped,1 tsp picked thyme leaves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potatoes cooked in bay-infused milk,Matt Tebbutt,4.3,5,Vegetarian,"Serves 6
Easy
Prep: 5 mins
Cook: 20 mins",4,100g salted butter,1kg small salad potato scrubbed of their skins,6-8 bay leaves fresh or dried,about 850ml/1.5pt full-fat milk,NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/potatoes-cooked-bay-infused-milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slow-cooked Greek Easter lamb with lemons, olives & bay",Tonia Buxton,3.8,5,Gluten-free,"Serves 6
Easy
Prep: 20 mins
Cook: 4 hrs and 30 mins
plus resting",9,"1 garlic bulb separated into cloves, half peeled and sliced, half unpeeled",8-10 fresh bay leaves,3 lemons cut into quarters lengthways,2 ½kg leg of lamb,50ml Greek extra virgin olive oil plus 4 tbsp for the potatoes,1 tsp ground cinnamon,"1kg Cypriot potatoes peeled and quartered lengthways (if you can’t find these, any large, waxy variety is fine – try Desirée)",140g Greek Kalkidis olives (or other large pitted green olives),125ml red or dry white wine,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-greek-easter-lamb-lemons-olives-bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toddler recipe: Batch-cook mini pork & veg balls,Caroline Hire – Food writer,3.8,5,"Freezable
Healthy","Makes 6-8 toddler portions or 2 adults' + 1-2 kids' portions
Easy
Prep: 15 mins
Cook: 45 mins",15,2 tsp rapeseed oil,1 small onion chopped,1 slice wholemeal bread torn into chunks,1 carrot cut into chunks,"1 celery stick, cut into chunks",1 red pepper cut into chunks,500g lean pork mince,1 egg,1 tsp rapeseed oil,BBC Good Food,https://www.bbcgoodfood.com/recipes/toddler-recipe-batch-cook-mini-pork-veg-balls,2 garlic cloves crushed,2 x 390g cartons passata,1 tsp dried thyme,1 tsp sugar (optional),"fresh basil or parsley, chopped (optional)","cooked spaghetti and grated cheese, to serve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-cook spiced apple chutney,Caroline Hire – Food writer,5,5,NA,"Makes about half a litre
Easy
Prep: 15 mins
No cook",8,"2 large Braeburn apples (or similar), peeled, cored and diced",1 red onion finely chopped,125g sultana,80ml red wine vinegar,40g dark brown soft sugar,½ tsp ground ginger,¼ tsp cumin,pinch of  cayenne,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/no-cook-spiced-apple-chutney,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weaning recipe: Slow-cooked lamb & veg with sweet potato & carrot mash,Caroline Hire – Food writer,5,5,Gluten-free,"Serves 2 adults + 2 kids
Easy
Prep: 15 mins
Cook: 2 hrs and 30 mins - 2 hrs and 45 mins",10,knob of butter for frying,1 onion finely chopped,2 garlic cloves crushed,1 tsp ground cinnamon,2 tsp ground coriander,3 lamb shanks,4 carrots peeled and cut into small chunks,2 sticks celery cut into small chunks,750ml water or low sodium vegetable stock,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-lamb-veg-sweet-carrot-mash,750g sweet potatoes peeled and cut into large chunks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamb cooked with tomatoes & aromatic spices,Good Food team,4.4,5,Freezable,"Serves 6
More effort
Total time : 2 hrs and 15 mins
Ready in about 2¼ hours",16,1 tbsp vegetable oil,1 tsp cumin seeds,6 cloves,1 cinnamon stick broken in half,4 bay leaves,2 medium onions sliced,"800g extra lean boneless lamb preferably leg or shoulder, cut into good-sized chunks",2 garlic cloves crushed,4cm piece of fresh root ginger peeled and cut into fine matchsticks,BBC Good Food,https://www.bbcgoodfood.com/recipes/lamb-cooked-tomatoes-aromatic-spices,1 tbsp ground coriander,½ tsp cayenne pepper,1 tsp turmeric,2 medium potatoes peeled and each cut into 4-6 chunks,400g can chopped tomatoes,150g carton low fat natural yogurt,2 tbsp chopped fresh coriander leaves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow cooked rib steak with Cuban mojo salsa,Cassie Best,4.3,5,Gluten-free,"Serves 2
More effort
Prep: 20 mins
Cook: 3 hrs and 20 mins",15,1 rib steak on the bone or côte du boeuf (about 800g),1 tbsp rapeseed oil,1 garlic clove,2 thyme sprigs,25g butter chopped into small pieces,sweet potato fries,a dressed salad to serve,2 limes,1 small orange,BBC Good Food,https://www.bbcgoodfood.com/recipes/low-n-slow-rib-steak-cuban-mojo-salsa,½ small bunch mint finely chopped,small bunch coriander finely chopped,4 spring onions finely chopped,1 small garlic clove crushed,1 fat green chilli finely chopped,4 tbsp extra virgin rapeseed oil or olive oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coconut macaroons,Liberty Mendez,4,5,"Gluten-free
Vegetarian","Makes 10-12
Easy
Prep: 30 mins
Cook: 15 mins
plus cooling",5,"2 eggs, whites only",80g caster sugar,200g desiccated coconut,1tsp vanilla paste,90g dark chocolate,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/coconut-macaroons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raw & cooked asparagus with lemon & parmesan butter,Tom Kerridge,3.4,5,"Gluten-free
Vegetarian","Serves 6
Easy
Prep: 15 mins
Cook: 10 mins",4,600g medium-length asparagus,75g butter,½ lemon zested and juiced,"30g parmesan or vegetarian alternative, grated",NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/raw-cooked-asparagus-lemon-parmesan-butter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scottish oatcakes,NA,4.8,5,Vegetarian,"Makes 16 oatcakes plus trimmings
Easy
Prep: 10 mins
Cook: 30 mins",6,225g  oats,60g  wholemeal flour plus extra for dusting,1 tsp  salt,½ tsp  sugar,½ tsp  bicarbonate of soda,60g  butter,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/scottish-oatcakes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas biscuits,Mary Cadogan,4.3,5,Freezable,"Makes 30-40 depending on size
Easy
Prep: 40 mins
Cook: 8 mins - 10 mins
Plus chilling",10,175g dark muscovado sugar,85g golden syrup,100g butter,3 tsp ground ginger,1 tsp ground cinnamon,350g plain flour plus extra for dusting,1 tsp bicarbonate of soda,1 egg lightly beaten,100g white chocolate,BBC Good Food,https://www.bbcgoodfood.com/recipes/christmas-cinnamon-biscuits,edible silver balls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-bake chocolate cheesecake,Becky Bowen,4.4,5,Vegetarian,"Serves 12-14
Easy
Prep: 30 mins
Plus overnight chilling",13,"130g butter melted, plus extra for the tin",300g chocolate digestive biscuits,150g milk chocolate,150g dark chocolate,250g mascarpone,300g cream cheese (don’t use a low-fat variety),50g icing sugar,25g malted milk drink powder,25g hot chocolate powder,BBC Good Food,https://www.bbcgoodfood.com/recipes/maltesers-cheesecake,1 tsp vanilla extract,300ml double cream,"150g chocolate coated malt balls (100g chopped, 50g whole), plus a handful to decorate",100g chocolate buttons roughly chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jammy dodger biscuits,Richard Burr,3.8,5,NA,"Makes 16
More effort
Prep: 1 hr
Cook: 12 mins
plus chilling",6,370ml jar strawberry jam,100g unsalted butter softened,175g caster sugar plus extra for sprinkling,1 egg,1 tsp vanilla paste,200g plain flour plus extra for dusting,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/jammy-dodger-flowers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate chip shortbread,Good Food team,4.5,5,"Freezable (Uncooked)
Vegetarian","Makes 14
Easy
Prep: 20 mins
Cook: 20 mins
plus chilling",5,300g plain flour,200g cold salted butter cubed,1 large egg yolk,100g caster sugar plus extra to sprinkle,80g milk or dark chocolate chips,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-chip-shortbread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digestive biscuits,Cassie Best,4.8,5,"Egg-free
Nut-free
Vegetarian","Makes 30-35 biscuits
Easy
Prep: 30 mins
Cook: 15 mins
plus chilling and cooling",8,200g wholemeal flour,100g plain flour plus extra to dust,100g porridge oats,300g unsalted butter,80g caster sugar,¾ tsp bicarbonate of soda,2 tbsp milk,150g milk chocolate to top (optional),NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/digestive-biscuits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-cook prawn coleslaw,Good Food team,4.2,5,"Easily doubled
Easily halved
Healthy","Serves 2
Easy
Prep: 15 mins
No cook",12,1⁄2 head  white cabbage finely shredded,1 large   carrot coarsely grated,100g radish sliced ,2 large handfuls beansprouts,handful cashew nuts,handful coriander leaves  ,100g cooked   prawn,zest and juice 1  lime,2 tsp sugar,BBC Good Food,https://www.bbcgoodfood.com/recipes/no-cook-asian-prawn-coleslaw,1 tbsp sesame oil,1 red chilli deseeded and chopped (optional),small knob   fresh  root ginger finely shredded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked summer blush,Good Food team,5,5,"Easily doubled
Easily halved
Healthy
Vegetarian","Serves 20
Easy
Prep: 30 mins
Cook: 2 hrs",8,15 red peppers quartered and deseeded,15 ripe  plum tomatoes quartered,2 heads of  garlic broken down into individual unpeeled cloves,6 tbsp  extra-virgin olive oil,1 tbsp golden caster sugar,3 tbsp   red wine vinegar,handful  thyme sprigs,3 handfuls  basil leaves roughly torn,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-summer-blush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gooseberry cheesecake,Samuel Goldsmith,4.9,5,Vegetarian,"Serves 12
Easy
Prep: 20 mins
Cook: 12 mins
plus at least 4 hrs 30 mins chilling",9,750g gooseberries,4 tbsp  elderflower cordial,1 orange zested and juiced,125g ginger biscuits,125g digestive biscuits,125g unsalted butter,500g soft cheese,250g mascarpone,125g icing sugar,BBC Good Food,https://www.bbcgoodfood.com/recipes/gooseberry-cheesecake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lime cheesecake,Barney Desmazery,4.4,5,NA,"Serves 16
More effort
Prep: 30 mins
Cook: 10 mins
Plus overnight chilling",9,250g gingernut biscuits,125g unsalted butter melted,600g cream cheese,100g icing sugar,3 limes zested (save the juice to use in the glaze),300ml double cream whipped to soft peaks,4 gelatine leaves,100g caster sugar,6 limes (the pared zest of 3 of them and the juice from all 6),BBC Good Food,https://www.bbcgoodfood.com/recipes/layered-lime-cheesecake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-bake vanilla cheesecake,Elena Silcock,4,5,"Egg-free
Nut-free
Vegetarian","Serves 12
Easy
Prep: 20 mins
No cook",7,250g digestive biscuits,100g butter melted,1 vanilla pod,600g soft cheese,100g icing sugar,280ml double cream,fruit compote to serve (strawberry or raspberry work well),NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/vanilla-cheesecake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viennese whirls,Chelsie Collins,4.3,5,"Freezable (uncooked dough only)
Vegetarian","makes 10
Easy
Prep: 45 mins
Cook: 12 mins",10,200g slightly salted butter softened,50g icing sugar,2 tsp vanilla extract,200g plain flour,2 tsp cornflour,½ tsp baking powder,100g butter softened,170g icing sugar,1 tsp vanilla extract,BBC Good Food,https://www.bbcgoodfood.com/recipes/viennese-whirls,50g raspberry jam or strawberry jam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked tomatoes,Gordon Ramsay,3.9,5,Vegetarian,"Serves 4
Easy
Prep: 5 mins - 10 mins
Cook: 2 hrs - 3 hrs",6,6medium-sized vine tomatoes,2 garlic cloves,thyme or rosemary leaves,sherry vinegar,balsamic vinegar,olive oil,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-tomatoes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Millionaire’s cheesecake,Lulu Grimes,4.2,5,Vegetarian,"Cuts into 10-12
Easy
Prep: 35 mins
no cook, plus at least 1 hr chilling",10,"75g butter melted, plus extra for the tin",250g shortbread biscuits,250g mascarpone,300g full-fat soft cheese,50g icing sugar,40g cocoa powder,300ml double cream,½ x 397g can caramel or 200g dulce de leche,50g dark chocolate chopped,BBC Good Food,https://www.bbcgoodfood.com/recipes/millionaires-cheesecake,"star sprinkles or chocolate stars, to decorate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-cook strawberry jam,Good Food team,3.2,5,Freezable,"Makes about 1.3kg/3lb (about 6 x 250ml/9fl oz pots)
Easy
Prep: 15 mins
Plus 7 hours chilling and overnight setting",4,850g caster sugar,500g firm ripe strawberries hulled,½ bottle liquid pectin (Certo) or 1 sachet pectin crystals,juice of 1 medium lemon (about 3-4 tbsp),NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/no-cook-strawberry-jam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granny Cook's Christmas pud,Sarah Cook,4,5,NA,"Makes 1 large, 1 medium and 1 small pud
Easy
Prep: 10 mins
Cook: 4 hrs",13,450g currants,225g sultanas,175g raisins,juice and zest 2 lemons,1 very large carrot grated,350g light soft brown sugar,100g golden syrup,100g mixed peel,350g breadcrumbs,BBC Good Food,https://www.bbcgoodfood.com/recipes/granny-cooks-christmas-pud,350g suet,350g self-raising flour,440ml can stout,3 eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Next level baked strawberry cheesecake,Barney Desmazery,4.9,5,Vegetarian,"More effort
Prep: 30 mins
Cook: 1 hr and 10 mins
plus 1 hr cooling, 4 hrs chilling and 1 hr macerating",14,"120g unsalted butter melted, plus extra for the tin",300g  digestive biscuits,25g golden caster sugar,750g full-fat soft cheese,200g golden caster sugar,4 eggs,200ml soured cream,1 tsp vanilla extract,1 lemon zested ,BBC Good Food,https://www.bbcgoodfood.com/recipes/next-level-baked-strawberry-cheesecake,2 tbsp plain flour,400g strawberries halved,25g golden caster sugar,100g strawberry jam,1 tbsp lemon juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banoffee pie pancakes,Esther Clark,4.5,5,"Easily doubled
Easily halved
Vegetarian","(2 large or 4 smaller portions)
Easy
Prep: 10 mins
Cook: 15 mins",11,3 eggs,2 tbsp caster sugar,100g plain flour,1 tsp baking powder,80ml milk,1 tbsp butter,1 tbsp sunflower oil,5 tbsp dulce de leche,2 bananas sliced,BBC Good Food,https://www.bbcgoodfood.com/premium/banoffee-pie-pancakes,1 digestive biscuit crumbled,grated chocolate to serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blackcurrant cheesecake,Cassie Best,4.2,5,Vegetarian,"Serves 4
Easy
Prep: 10 mins
Cook: 20 mins
plus 2-3 hrs cooling and at least 3 hrs chilling",10,"140g unsalted butter melted, plus extra for the tin",300g digestive biscuits,275g golden caster sugar,"100g fresh or frozen blackcurrants (brought to room temperature for 1 hr before using, if frozen)",1 tsp cornflour,900g full-fat soft cheese,4 tbsp plain flour,2 tsp vanilla extract,3 eggs,BBC Good Food,https://www.bbcgoodfood.com/recipes/blackcurrant-cheesecake,200ml soured cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked tomatoes with basil,Jane Hornby,4.5,5,Vegetarian,"Makes enough to fill 3 x 500ml jars
More effort
Prep: 15 mins
Cook: 3 hrs - 4 hrs",5,"3kg  small tomatoes from the vine, halved",4 tsp herbes de Provence,large bunch basil leaves only,500ml  light olive oil plus extra for drizzling,2 tsp black peppercorn,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-tomatoes-basil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked sticky pork chops,Ailsa Burt,2.5,5,Gluten-free,"Serves 4
Easy
Prep: 25 mins
Cook: 2 hrs
plus at least 2 hrs chilling",16,100g light brown soft sugar plus 1½ tbsp,2 tbsp chipotle chilli flakes,4 x 250g thick-cut pork chops,750ml strong hot coffee,2 tbsp molasses or treacle,2 garlic bulbs cloves separated and lightly bashed with the skin on,2 tbsp cornflour,"spicy rice and sliced chilli, to serve",3 tbsp sunflower oil,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-sticky-pork-chops,2 tsp honey,1 tbsp wholegrain mustard,2 tbsp apple cider vinegar,½ small Savoy cabbage finely sliced,2 sticks celery finely sliced,2 spring onions finely sliced,2 carrots julienned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Millionaire's shortbread,Miriam Nice,4.1,5,Vegetarian,"Makes 20-24
Easy
Prep: 15 mins
Cook: 1 hr",11,250g plain flour,200g unsalted butter chilled and chopped,100g golden caster sugar,¼ tsp vanilla extract,90g butter,379g can condensed milk,2 tbsp golden syrup,2 tbsp dark brown sugar,300g dark chocolate,BBC Good Food,https://www.bbcgoodfood.com/recipes/millionaires-shortbread,50g butter,25g white chocolate melted (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florentine biscuits,Cassie Best,4.6,5,NA,"makes 36
Easy
Prep: 55 mins
Cook: 25 mins
plus 1 hr chilling",13,175g slightly salted butter softened,85g golden caster sugar,½ tsp vanilla extract,225g plain flour plus extra for dusting,¼ tsp ground cinnamon,50g butter,50g light brown soft sugar,50g golden syrup,½ tsp salt,BBC Good Food,https://www.bbcgoodfood.com/recipes/florentine-biscuits,50g plain flour,75g glacé cherries chopped,75g flaked almonds,150g dark chocolate chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricciarelli biscuits,Benjamina Ebuehi,4.8,5,"Gluten-free
Vegetarian","Serves 20
More effort
Prep: 15 mins
Cook: 25 mins
plus at least 4 hrs chilling and cooling",5,"2 egg whites (use the yolks in another recipe, such as fried rice)",½ tsp almond extract,1 lemon zested,200g icing sugar plus extra for dusting,260g ground almonds,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/ricciarelli-biscuits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baked raspberry & lemon cheesecake,Barney Desmazery,4.5,5,NA,"Serves 8
Easy
Prep: 20 mins
Cook: 1 hr and 45 mins
Plus overnight chilling",10,200g digestive biscuit,75g butter melted,600g full-fat soft cheese,250g golden caster sugar,150g tub natural yogurt,3 medium eggs,finely grated zest 2 lemons juice of 1,50g plain flour,200g raspberry,BBC Good Food,https://www.bbcgoodfood.com/recipes/baked-raspberry-lemon-cheesecake,icing sugar to decorate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nanaimo bars,Michelle Holmes,4.3,5,Vegetarian,"Serves 16
Easy
Prep: 25 mins
Cook: 5 mins
plus 2 hrs 20 mins chilling",13,125g softened butter,50g caster sugar,5 tbsp cocoa powder,1 egg beaten,200g digestive biscuits blitzed to crumbs,100g desiccated coconut,50g chopped almonds (optional),100g butter softened,4 tbsp double cream,BBC Good Food,https://www.bbcgoodfood.com/recipes/nanaimo-bars,3 tbsp custard powder,250g icing sugar,150g dark chocolate,50g butter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread cake,Cassie Best,4.8,5,Freezable (un-iced),"Serves 20
More effort
Prep: 1 hr and 20 mins
Cook: 30 mins
plus cooling",22,150ml full-fat milk,3 tbsp black treacle,225ml vegetable oil plus a little for greasing,375g plain flour,3 tsp baking powder,1½ tsp bicarbonate of soda,375g light brown soft sugar,1½ tsp ground cinnamon,1½ tsp ground ginger,BBC Good Food,https://www.bbcgoodfood.com/recipes/gingerbread-cake-caramel-biscuit-icing,3 good pinches of ground cloves,300ml buttermilk,3 large eggs,"3 tbsp dark rum (optional – replace with extra milk, if you like)",1½ tsp vanilla extract,250g pack slightly salted butter very soft,600g icing sugar plus a little extra for dusting,300g full-fat cream cheese,2 tsp vanilla bean extract,200g smooth caramelised biscuit spread (I used Lotus Biscoff biscuit spread),50g desiccated coconut to decorate,silver edible glitter (optional),gingerbread shapes (see tip),NA,NA,NA,NA,NA,NA,NA,NA,NA
Luscious lemon baked cheesecake,Barney Desmazery,4.8,5,"Freezable (Can be frozen baked but undecorated)
Nut-free
Vegetarian","Cuts into 10 slices
Easy
Prep: 10 mins
Cook: 40 mins
Plus chilling",11,225g digestive biscuits,100g butter melted,250g tub  mascarpone,600g soft cheese,2 eggs plus 2 yolks,zest 3 lemons juice of 1,4 tbsp  plain flour,175g caster sugar,½ a 284ml pot soured cream,BBC Good Food,https://www.bbcgoodfood.com/recipes/luscious-lemon-baked-cheesecake,3 tbsp lemon curd,handful  raspberries to serve (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy biscuits,Good Food team,4.8,5,"Freezable
Healthy","Makes 16
Easy
Prep: 30 mins
Cook: 20 mins",13,100g butter at room temperature,1 egg,50g mashed ripe banana,1 tsp vanilla extract,100g light soft brown sugar,½ tsp grated orange zest,100g wholemeal flour,¼ tsp salt,1 tsp baking powder,BBC Good Food,https://www.bbcgoodfood.com/recipes/orange-oat-sultana-cookies,100g rolled oats,25g desiccated coconut,50g chopped walnut,75g sultana or dark chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon sherbet jammy dodgers,Cassie Best,4.7,5,Freezable (uncooked dough only),"Makes 15
Easy
Prep: 45 mins
Cook: 15 mins
plus chilling",9,175g cold slightly salted butter cubed,250g plain flour plus extra for dusting,100g icing sugar,zest 1 lemon plus 1-2 tsp juice,1 large egg yolk,23g pack sherbet (I used Dip Dab),75g slightly salted butter at room temperature,250g icing sugar,100g lemon curd,BBC Good Food,https://www.bbcgoodfood.com/recipes/lemon-sherbet-jammy-dodgers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
