title,author,rating,ratingnum,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,category,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30
Giant S’mores Cookies,Jamie,4.66,26,NA,22 minutes,Chilling Time: 1 day d,NA,15 giant cookies,5,"Sift flours, baking soda, baking powder and salt into a bowl. Set aside.
Using a stand mixer fitted with the paddle attachment, cream butter and sugars together until very light, about 5 minutes. Add eggs, one at a time, mixing well after each addition. Stir in the vanilla. Reduce speed to low, add dry ingredients and mix until just combined, 5 to 10 seconds. Add chocolate chips and mix until they are evenly incorporated into the dough. Press plastic wrap against dough and refrigerate for 24 to 36 hours. Dough may be used in batches, and can be refrigerated for up to 72 hours.
When ready to bake, remove dough from the refrigerator and allow it to sit at room temperature for 30 minutes before preheating the oven to 350°F .
Line a baking sheet with parchment paper or a nonstick baking mat. Place 5 graham cracker squares on a baking sheet. Top each graham cracker with a piece of chocolate followed by a marshmallow.
Scoop 5 4-ounce mounds of dough. Flatten the mound of dough into a disk large enough to cover the graham cracker and push down gently to cover the graham cracker and marshmallow. Sprinkle lightly with sea salt and place the entire cookie sheet into the refrigerator to chill for an additional 25 minutes – this will prevent the cookies from spreading too much in the oven. Bake until golden brown but still soft, 22-24 minutes. Let cool on the baking sheet for 10 minutes, then slip cookies onto a wire rack to cool a bit more. Repeat with remaining dough, or reserve dough, refrigerated, for baking remaining batches the next day.",15,▢ 2 cups minus 2 tablespoons cake flour,▢ 1 ⅔ cups bread flour,▢ 1 ¼ teaspoons baking soda,▢ 1 ½ teaspoons baking powder,▢ 1 ½ teaspoons sea salt,▢ 1 ¼ cups unsalted butter softened,▢ 1 ¼ cups packed light brown sugar,▢ 1 cup plus 2 tablespoons granulated sugar,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,My Baking Addiction,https://www.mybakingaddiction.com/giant-smores-cookies/,Cookies,▢ 1 bag dark chocolate chips 20-ounces,▢ 8 full-size graham crackers broken in half to create 16 squares,▢ 4 full-size Hershey chocolate bars broken into 4 pieces each for 16 total pieces,▢ 15 regular-size marshmallows,▢ Flaky sea salt for finishing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Funfetti Cookies,Jamie,4.50,136,15 minutes,8 minutes,NA,23 minutes,20 cookies,4,"Preheat oven to 350°F. Line a baking sheet with parchment paper or a silicone baking mat. Set aside.
In a large bowl, whisk together the cake mix and baking powder. With an electric mixer, mix in the eggs one at a time. Mix in the vegetable oil and vanilla extract until well combined.
Roll dough into 1-inch balls. Roll each ball in the nonpareils. Place 2 inches apart on the prepared cookie sheet.
Use the bottom of a jar or glass to press each cookie to ¼ inch thick. Bake for 7-8 minutes. Allow to cool on the baking sheet before removing to a cooling rack to cool completely.",6,▢ 1 box Funfetti cake mix 15.25 ounces,▢ 1 teaspoon baking powder,▢ 2 eggs,▢ ⅓ cup vegetable oil,▢ 1 teaspoon pure vanilla extract,▢ 3 ounces rainbow nonpareils,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/funfetti-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter and Jelly Bars,Jamie,4.55,11,15 minutes,45 minutes,NA,NA,20 bars,6,"Preheat the oven to 350°F.
Grease a 9x13x2-inch cake pan. Line it with parchment paper, then grease and flour the pan.
In the bowl of an electric mixer fitted with the paddle attachment, cream the butter and sugar on medium speed until light yellow, about 2 minutes. With the mixer on low speed, add the vanilla, eggs, and peanut butter and mix until all ingredients are combined.
In a small bowl, sift together the flour, baking powder, and salt. With the mixer on low speed, slowly add the flour mixture to the peanut butter mixture. Mix just until combined.
Spread 2/3 of the dough into the prepared cake pan and spread over the bottom with a knife or offset spatula. Spread the jam evenly over the dough. Drop small globs of the remaining dough evenly over the jam. Don’t worry if all the jam isn’t covered; it will spread in the oven. Sprinkle with chopped peanuts and bake for 45 minutes, until golden brown.
Cool and cut into squares. Serve up with a big glass of ice cold milk.",11,▢ 1 cup unsalted butter room temperature,▢ 1 ½ cups granulated sugar,▢ 1 teaspoon pure vanilla extract,▢ 2 large eggs room temperature,▢ 1 cup chunky peanut butter,▢ 1 cup creamy peanut butter,▢ 3 cups all-purpose flour,▢ 1 teaspoon baking powder,▢ 1 ½ teaspoons kosher salt,"▢ 1 ¾ cups jam or jelly of choice ex: blackberry, strawberry, raspberry",My Baking Addiction,https://www.mybakingaddiction.com/peanut-butter-and-jelly-bars-recipe/,Desserts,▢ ½ cup salted peanuts coarsely chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewy Lime Sugar Cookies,Jamie,4.52,77,15 minutes,10 minutes,NA,25 minutes,36 cookies,8,"Preheat oven to 350 degrees. Line cookie sheets with parchment paper.
In a small bowl, stir together flour, baking soda, baking powder and salt. Set aside.
Using a mixer, beat together the butter and sugar until smooth and very fluffy.
Beat in egg, vanilla extract, lime juice and lime zest.
Gradually blend in the dry ingredients and toasted coconut.
Roll rounded teaspoonfuls of dough into balls, and roll in sugar. Place on lined cookie sheets about 1 1/2 inches apart.
Bake 8 to 10 minutes in the preheated oven, or until lightly browned.
Let stand on cookie sheet two minutes before removing to cool on wire racks.",12,▢ 2 ¾ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 cup unsalted butter softened,▢ 1 ½ cups granulated sugar,▢ 1 egg,▢ ½ teaspoon pure vanilla extract,▢ Zest of one large lime finely minced,▢ 3 tbsp lime juice,My Baking Addiction,https://www.mybakingaddiction.com/chewy-lime-sugar-cookies/,Cookies,▢ ½ cup unsweetened toasted coconut,▢ ½ cup sugar for rolling cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snickerdoodle Blondies,Jamie,4.46,66,15 minutes,30 minutes,NA,45 minutes,NA,4,"Preheat oven to 350° F. Lightly grease and/or line a 9×13 inch pan. Combine the flour, baking powder, cinnamon, nutmeg and salt and set aside.
In a large bowl, beat together butter and brown sugar for 3-5 minutes. Add in the eggs one at a time, then the vanilla, and beat until smooth.
Stir in the flour mixture until well blended. Spread evenly in prepared pan (mixture will be somewhat like a cookie batter, so it’s best to spread it out with a greased spatula or your hands). Combine the granulated sugar, cinnamon, and nutmeg in a little bowl. Evenly sprinkle cinnamon sugar mixture over the top of the batter.
Bake 25-30 minutes or until the surface springs back when gently pressed. Cool before cutting.",12,▢ 2 ⅔ cups all-purpose flour,▢ 2 teaspoons baking powder,▢ 1 teaspoon cinnamon,▢ ⅛ teaspoon grated or ground nutmeg,▢ 1 teaspoon salt,▢ 2 cups packed brown sugar,▢ 1 cup butter room temperature,▢ 2 eggs at room temperature,▢ 1 tablespoon pure vanilla extract,▢ 2 tablespoons granulated sugar,My Baking Addiction,https://www.mybakingaddiction.com/snickerdoodle-blondies/,Bar Desserts,▢ 2 teaspoons cinnamon,▢ pinch of nutmeg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S’mores Cookies,Jamie,4.48,17,15 minutes,11 minutes,Chill Time: 2 hours hrs,26 minutes,30 cookies,9,"In the bowl of a stand mixer, or in a large bowl with an electric mixer, beat butter and sugars on medium speed for about 3 minutes. 
Add in vanilla and eggs and beat an additional 1-2 minutes. In a medium bowl, whisk together the flour, baking soda and salt. 
Gradually add in the flour mixture and mix until just combined. 
Stir in the chocolate chips and ¾ cup chopped graham cereal until evenly distributed into the dough. 
Cover and refrigerate dough for at least 2 hours or up to 24 hours.
When ready to bake, preheat oven to 350°F. Line baking sheets with parchment paper.
Measure dough using a medium cookie scoop (about 1.5 tablespoons). 
Place dough balls on prepared cookie sheets 2 inches apart.
Bake for 11 minutes. Remove pan from oven and immediately top each cookie with mini marshmallows, graham cereal pieces and pieces of the chocolate bars. Place cookies back in the oven and bake an additional 3 minutes. Allow cookies to cool on the pan for 5 minutes before removing them to a wire cooling rack to cool completely.",13,▢ 1 ½ cups salted butter softened,▢ 1 cup granulated sugar,▢ 1 cup packed brown sugar,▢ 1 tablespoon pure vanilla extract,▢ 2 large eggs,▢ 3 ¾ cup all-purpose flour,▢ 2 teaspoons baking soda,▢ ½ teaspoon kosher salt,▢ 2 cups semisweet or dark chocolate chips,▢ ¾ cup coarsely chopped graham cereal,My Baking Addiction,https://www.mybakingaddiction.com/smores-cookies/,Cookies,▢ 1 ¾ cups Mini Marshmallows,▢ ¾ cup graham cereal,▢ 4 full-size milk chocolate candy bars broken into pieces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Crinkle Cookies,Jamie,4.49,31,10 minutes,9 minutes,NA,19 minutes,18 cookies,5,"Preheat oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper, set aside.
In the bowl of your stand mixer fitted with the paddle attachment, or in a large bowl with a hand mixer, combine cake mix, eggs, oil, and vanilla extract until well blended. Place confectioners’ sugar into a medium bowl.
Using a medium cookie scoop (1 ½ tablespoons), drop balls of dough (dough will be sticky) into the confectioners’ sugar, roll to coat. Gently form dough into a ball by lightly rolling between your palms.
Place dough balls on prepared baking pan about two inches apart.
Bake in preheated oven for 7 to 9 minutes. The bottoms will be set but middles will look slightly undercooked. Allow cookies to cool for 5 minutes on pan before removing to a wire rack.",5,▢ 1 boz Devil’s Food Cake Mix 15.25 ounces,▢ 2 large eggs,▢ ⅓ cup vegetable oil,▢ 1 teaspoon pure vanilla extract,▢ ⅓ cup confectioners' sugar,NA,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/easy-chocolate-crinkle-cookies-recipe/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chai Spiced Sugar Cookies,Jamie,4.49,399,15 minutes,10 minutes,NA,25 minutes,36 cookies,9,"Preheat oven to 350 degrees. Line a baking sheet with parchment paper; set aside.
In a large bowl, sift together flour, baking soda, baking powder and salt. Set aside.
In a medium bowl combine sugar, cinnamon, ginger, cardamom, allspice and black pepper. Remove 1/4 cup of the sugar-spice mixture, set aside to reserve for rolling the cookies.
In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer, beat the butter and sugar-spice mixture until light and fluffy, about 3 minutes.
Beat in egg and vanilla extract, combine until fully incorporated.
Slowly blend in dry ingredients mixing until just combined.
Using a small scoop (2 teaspoons) roll dough into balls and then into the reserved sugar-spice mixture. Place dough balls on prepared baking sheet about 1 1/2 inches apart.
Bake in preheated oven for 8 to 10 minutes.
Let stand on baking sheet two minutes before removing to cool on wire racks.",13,▢ 2 ¾ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 ¾ cups white sugar,▢ 2 ½ teaspoons ground cinnamon,▢ 1 teaspoon ground ginger,▢ 1 teaspoon ground cardamom,▢ ½ teaspoon ground allspice,▢ ¼ teaspoon finely ground black pepper,My Baking Addiction,https://www.mybakingaddiction.com/chai-cookies/,Cookies,▢ 1 cup unsalted butter softened,▢ 1 egg,▢ ½ teaspoon pure vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mint Chocolate Cookies,Jamie,4.58,7,20 minutes,10 minutes,Chill Time: 1 hour hr,30 minutes,40 cookies,4,"In a large pan over low heat, cook butter, sugar and water until butter is melted. Add chocolate chips and stir until partially melted. Remove from heat and continue to stir until chocolate is completely melted. Pour into a large bowl and let stand 10 minutes to cool off slightly.
At high speed, beat in eggs, one at a time into chocolate mixture. Reduce speed to low and add dry ingredients, beating until blended. Chill dough about 1 hour.Preheat oven to 350 degrees F (175 degrees C).
Roll dough into balls (I used my 1TBS cookie scoop to measure) and place on ungreased cookie sheet about 2 inches apart. Bake 8-10 minutes.
While cookies are baking unwrap mints and divide each in half. When the cookies come out of the oven, put 1/2 mint on top of each cookie. Let the mint sit for up to 5 minutes until melted, then spread the mint on top of the cookie.",9,▢ ¾ cup butter,▢ 1 ½ cups packed brown sugar,▢ 2 tablespoons water,▢ 2 cups semisweet chocolate chips,▢ 2 eggs,▢ 2 ½ cups all-purpose flour,▢ 1 ¼ teaspoons baking soda,▢ ½ teaspoon salt,▢ 36 chocolate mint wafer candies such as Andes Mints,NA,My Baking Addiction,https://www.mybakingaddiction.com/mint-chocolate-cookies-recipe/,Chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Molasses Sandwich Cookies,Jamie,4.37,33,20 minutes,9 minutes,NA,29 minutes,24 sandwich cookies,10,"Whisk together the flour, baking soda, salt, and pumpkin pie spice.
Working with a stand mixer, preferably fitted with a paddle attachment, or a hand mixer in a large bowl, beat the butter on medium speed until smooth and creamy. Add the brown sugar, molasses, and pumpkin puree and beat for 2 minutes, scraping down the sides of the bowl as needed. Add the egg and beat for 1 minute more.
Reduce the mixer speed to low and add the dry ingredients, mixing until the flour and spices disappear. If flour remains in the bottom of the bowl, mix the last of the dry ingredients by hand to avoid over beating. You will have a very soft dough.
Divide the dough in half and wrap each piece in plastic wrap. Freeze for at least 30 minutes, or refrigerate for at least 1 hour. The dough is sticky, so the longer time it can chill the easier it is to work with.
Preheat oven to 350°F. Line 2 baking sheets with parchment paper.
Put the sugar in a small bowl. Working with one packet of dough at a time, divide it into 24 pieces (or use a small cookie scoop), and roll each piece into a ball. Roll the balls in the sugar, then place dough balls on prepared cookie sheets and use a the bottom of a glass to ever-so-gently press down on the cookies. Do not over crowd.
Bake the cookies one sheet at a time for 7-9 minutes, or until the top feels set to the touch. Remove baking sheets from the oven. Let cookies cool 5 minutes on the sheets before transferring them to a cooling rack.
Repeat with second batch of dough.
In a medium bowl with an electric mixer, combine cream cheese and confectioners' sugar. Mix on low speed until the sugar is incorporated, increase speed to medium-high and mix for about one minute. Add in vanilla and continue mixing on low speed until vanilla in fully incorporated.
To assemble the cookies, pipe or spread the filling on the bottom of one cookie. Top with another cookie and press together gently to create a sandwich cookie. Repeat with remaining cookies.",13,▢ 2 ⅓ cups all-purpose flour,▢ 2 tsp baking soda,▢ ½ tsp salt,▢ 1 tablespoon homemade pumpkin pie spice,▢ 8 tablespoons unsalted butter room temperature,▢ 1 cup light brown sugar packed,▢ ¼ cup molasses,▢ ⅔ cup pumpkin puree,▢ 1 large egg,▢ ½ cup granulated sugar for rolling,My Baking Addiction,https://www.mybakingaddiction.com/pumpkin-molasses-sandwich-cookies/,Seasonal Ingredients,▢ 8 ounces cream cheese softened,▢ 3 ½ cups confectioners' sugar sifted,▢ 1 teaspoon pure vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cookies with Cream Cheese Icing,Jamie,4.60,25,NA,NA,NA,NA,24 Cookies,7,"Preheat oven to 350°F (175°C).
Cream shortening, butter, white sugar and pumpkin. Add eggs and mix well.
Sift together the baking soda, pumpkin pie spice, salt and flour. Add to pumpkin mixture and mix well.
Drop from spoon to parchment-lined cookie sheet. Bake 13-15 minutes..
Mix the cream cheese with the butter, confectioners' sugar, vanilla extract, and milk in a bowl.
Heat in a microwave for 5-10 seconds.
Drizzle spoonfuls over the cooled cookies and smooth with the back of a spoon or a spatula.",14,▢ 1 cup butter flavored shortening,▢ 1 cup unsalted butter softened,▢ 2 cups granulated sugar,▢ 2 cups pumpkin puree,▢ 2 eggs,▢ 2 teaspoons baking soda,▢ 1 tablespoon pumpkin pie spice,▢ 1 teaspoon salt,▢ 4 cups all-purpose flour,▢ 8 ounces cream cheese softened,My Baking Addiction,https://www.mybakingaddiction.com/pumpkin-cookies-recipe/,Seasonal Ingredients,▢ 2 tablespoons butter softened,▢ 4 cups confectioners' sugar,▢ 1 teaspoon vanilla bean paste or vanilla extract,▢ 2 tablespoons milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
